Nav Item Label,Link Category,Link Label,Links
Labor Dashboards,Dashboards,Operational Performance Dashboard (OPD),#
Labor Dashboards,Dashboards,Labor Productivity Dashboard (LPD),#
Labor Dashboards,Explorers,Volume Pattern Explorer (VPE),#
Labor Dashboards,Key Performance Indicators,SWB % of NPSR (Incl MGE),#
Labor Dashboards,Key Performance Indicators,Paid Hours Per AA (Excl MGE),#
Labor Dashboards,Key Performance Indicators,Paid Hours Per APD (Excl MGE),#
Labor Dashboards,Key Performance Indicators,Unfavorable $ Opportunity FYTD-18,#
Labor Dashboards,Key Performance Indicators,Unfavorable  FTE Opportunity FYTD-18,#
Performance Dashboards,Dashboards,Operational Performance Dashboard (OPD),#
Performance Dashboards,Key Performance Indicators,OEBIDA Margin,#
Performance Dashboards,Key Performance Indicators,Oper Margin,#
Performance Dashboards,Key Performance Indicators,Adjusted Admissions,#
